id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
19065197,"Perfect Location, Lovely room in Cambridge!",6839881,1,57.00,5,100,11
19183167,"Contemporary 2BR in Central Sq! Harvard/MIT",112868041,4,239.00,5,97,4
19248273,"Ocean Oasis in the Heart of Cambridge",134772042,2,101.00,5,100,4
19251505,"Harvard/MIT 2 Bed 2 Bath luxury apartment",75606953,3,165.00,5,95,11
19344649,"WALK to HARVARD&MIT with MEMORY BED 1",15154687,1,65.00,5,92,4
19345857,"WALK to HARVARD&MIT with MEMORY BED 2",15154687,1,65.00,5,92,4
19346242,"WALK to HARVARD&MIT with MEMORY BED 4",15154687,1,41.00,4,88,6
19346436,"WALK to HARVARD&MIT with MEMORY BED 6",15154687,1,43.00,4,90,4
19376539,"Private room in Harvard square 3, good to sleep",82946167,1,39.00,5,96,13
19426275,"Amazing Apartment! Close to EVERYTHING!",40959087,3,183.00,5,96,5
